DATE,NUMBER OF ELECTRIC VEHICLES,VEHICLE MODEL YEAR,VEHICLE MAKE,LOCATION,VEHICLE MODEL
10-01-21,1,2006,TOYOTA,HALIFAX COUNTY,
10-01-21,1,2008,TOYOTA,HALIFAX COUNTY,
10-01-21,1,2009,NISSAN,VICTORIA COUNTY,
10-01-21,1,2009,TOYOTA,HALIFAX COUNTY,
10-01-21,1,2011,HYUNDAI,HALIFAX COUNTY,
10-01-21,1,2011,LEXUS,HALIFAX COUNTY,
10-01-21,1,2012,FORD,HALIFAX COUNTY,
10-01-21,1,2012,HONDA,DIGBY COUNTY,
10-01-21,1,2012,HYUNDAI,HALIFAX COUNTY,
10-01-21,4,2012,NISSAN,HALIFAX COUNTY,
10-01-21,1,2012,NISSAN,KINGS COUNTY,
10-01-21,1,2012,TOYOTA,HALIFAX COUNTY,
10-01-21,1,2012,ZERO,HALIFAX COUNTY,
10-01-21,3,2013,NISSAN,HALIFAX COUNTY,
10-01-21,2,2013,NISSAN,ANNAPOLIS COUNTY,
10-01-21,1,2013,NISSAN,COLCHESTER COUNTY,
10-01-21,1,2013,SMART,PICTOU COUNTY,
10-01-21,4,2013,TESLA,HALIFAX COUNTY,
10-01-21,1,2013,ZERO,HALIFAX COUNTY,
10-01-21,1,2014,BMW,HALIFAX COUNTY,
10-01-21,1,2014,CHEVROLET,HALIFAX COUNTY,
10-01-21,1,2014,FORD,HALIFAX COUNTY,
10-01-21,1,2014,NISSAN,LUNENBURG COUNTY,
10-01-21,1,2014,NISSAN,KINGS COUNTY,
10-01-21,1,2014,SMART,HALIFAX COUNTY,
10-01-21,1,2014,TESLA,COLCHESTER COUNTY,
10-01-21,1,2014,TESLA,HALIFAX COUNTY,
10-01-21,1,2015,BMW,HALIFAX COUNTY,
10-01-21,1,2015,KIA,HALIFAX COUNTY,
10-01-21,7,2015,NISSAN,HALIFAX COUNTY,
10-01-21,1,2015,NISSAN,ANTIGONISH COUNTY,
10-01-21,1,2015,NISSAN,HANTS COUNTY,
10-01-21,1,2015,NISSAN,ANNAPOLIS COUNTY,
10-01-21,1,2015,SMART,HALIFAX COUNTY,
10-01-21,5,2015,TESLA,HALIFAX COUNTY,
10-01-21,2,2015,TESLA,PICTOU COUNTY,
10-01-21,1,2015,TESLA,HANTS COUNTY,
10-01-21,1,2015,TESLA,ANNAPOLIS COUNTY,
10-01-21,1,2016,BMW,HALIFAX COUNTY,
10-01-21,1,2016,CHEVROLET,KINGS COUNTY,
10-01-21,3,2016,KIA,HALIFAX COUNTY,
10-01-21,1,2016,KIA,HANTS COUNTY,
10-01-21,1,2016,KIA,CAPE BRETON COUNTY,
10-01-21,1,2016,KIA,AMHERST,
10-01-21,9,2016,NISSAN,HALIFAX COUNTY,
10-01-21,1,2016,NISSAN,ANNAPOLIS COUNTY,
10-01-21,1,2016,NISSAN,COLCHESTER COUNTY,
10-01-21,1,2016,NISSAN,KINGS COUNTY,
10-01-21,1,2016,NISSAN,NEW GLASGOW,
10-01-21,1,2016,SMART,HALIFAX COUNTY,
10-01-21,6,2016,TESLA,HALIFAX COUNTY,
10-01-21,3,2016,TESLA,LUNENBURG COUNTY,
10-01-21,9,2017,CHEVROLET,HALIFAX COUNTY,
10-01-21,1,2017,CHEVROLET,LUNENBURG COUNTY,
10-01-21,2,2017,CHEVROLET,COLCHESTER COUNTY,
10-01-21,1,2017,CHEVROLET,KINGS COUNTY,
10-01-21,1,2017,CHEVROLET,CAPE BRETON COUNTY,
10-01-21,1,2017,CHEVROLET,ANTIGONISH COUNTY,
