date,number_of_electric_vehicles,vehicle_model_year,vehicle_make,location,vehicle_model,year,month,vehicle_type,day
2024-01-22,1,2024,Volvo,Queens County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Kings County,Xc 40 Recharge Ultimate,2024,1,SUV,22
2024-01-22,1,2024,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2024,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2024,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Xc 40 Recharge,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Halifax County,Xc 40 Recharge Ultimate,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Lunenburg County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Lunenburg County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Xc 40 Recharge Ultimate,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2023,Volvo,Halifax County,Xc 40 Recharge Ultimate,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Halifax County,Xc 40 Recharge,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2022,Volvo,Halifax County,Ex 40,2024,1,SUV,22
2024-01-22,1,2014,Fiat,Halifax County,500,2024,1,,22
2024-01-22,1,2016,Bobcat,Halifax County,S650 T4,2024,1,,22
2024-01-22,1,2023,Subaru,Halifax County,Solterra,2024,1,,22
2024-01-22,1,2023,Subaru,Halifax County,Solterra,2024,1,,22
2024-01-22,1,2023,Subaru,Lunenburg County,Solterra,2024,1,,22
2024-01-22,1,2023,Subaru,Antigonish County,Solterra,2024,1,,22
